Date,Text,Username,Length_Text,Sentiment
Wed Dec 13 12:49:20 +0000 2023,Anak muda siap goooolkan #AniesMuhaimin2024,bm_marhamah,74,Positive
Wed Dec 13 12:49:02 +0000 2023,@sigitwid Bismillah #AMINAjaDulu  #AniesMuhaimin2024  #SatukanIndonesia,WidyaDodo,102,Positive
Wed Dec 13 12:41:47 +0000 2023,"Untuk pasaran odds nya sudah ready boskuu ,, yuk gaskeun parlay nya atau 1 x 2 nya dari sekarang  #AniesMuhaimin2024 #prabowo #irishbella #ordal #HotlineParis #wowo #No3 #WakandaNoMore #SBOBET #barcelonafc #ManchesterCity #PSG #MilanDay #NewcastleMilan   https://t.co/vXmQobms0e https://t.co/HklxkFDN4F",winratubet,333,Neutral
Wed Dec 13 12:39:47 +0000 2023,pak @aniesbaswedan memang keren  #debatcapres2024  #WakandaNoMoreIndonesiaForever  #AniesMuhaimin2024  #AniesJuaraDebatCapres https://t.co/XDRaQBsV8r,humairaa459,180,Neutral
Wed Dec 13 12:35:34 +0000 2023,Bolehkah Pak Anies Seberani ini ?? #AminPalingSiapUntukIndonesia #AniesMuhaimin2024,sumadiseloguno,114,Positive
Wed Dec 13 12:32:59 +0000 2023,"Kepada Capres Anies, LAMR Pasangkan Tanjak, Serahkan Buku dan Gagasan #Aminajadulu #aniesmuhaimin2024 #AMINTerbaikNomor1  https://t.co/myKdETmLpr",gusmarhadi,176,Positive
Wed Dec 13 12:32:42 +0000 2023,AYO AMIN KAN DOA DARI PAK ANIES.#AniesMuhaimin2024 https://t.co/2gqKGGmGaU,Globaljayarak,105,Positive
Wed Dec 13 12:28:35 +0000 2023,Wakanda no more  Indonesia forever ?????? #AMINAjaDulu #AniesMuhaimin2024  https://t.co/JD5C24JoBb,R3_Adv,129,Positive
Wed Dec 13 12:27:19 +0000 2023,Kunjungan @aniesbaswedan di Pekanbaru - Riau. #AMINAjaDulu #AniesMuhaimin2024 https://t.co/BOlOkdbiIC,R3_Adv,132,Positive
Wed Dec 13 12:21:43 +0000 2023,Jadi oposisi itu berat..yang mudah itu jadi penjilat..!! #AniesPresiden2024  #AniesMuhaimin2024,Hape67889697,126,Neutral
Wed Dec 13 12:20:10 +0000 2023,"Wakanda no more, Indonesia Forever ??????? #amin #AniesMuhaimin2024 #aniesbaswedan #syaf #syafawifadly https://t.co/wvnegZZjqs",syafawifadly,157,Positive
Wed Dec 13 12:11:04 +0000 2023,WAKANDA NO MORE INDONESIA FOREVER #AniesMuhaimin2024 https://t.co/T0JHUwdCCH,Billy43690016,107,Positive
Wed Dec 13 12:08:10 +0000 2023,"Wakanda no more Indonesia forever , jargon milenial dari paslon no.1 Anies #AniesMuhaimin2024 #AMINUnggulDebatCapres https://t.co/glyYPu9ty6",Bambang03051968,171,Positive
Wed Dec 13 12:03:48 +0000 2023,Mari berbicara pakai data. Jadilah pemilih cerdas dgn memilih calon presiden yg cerdas berargumentasi dan bertindak memakai data.  #AniesMuhaimin2024,Mauliaadnan,180,Positive
Wed Dec 13 12:01:21 +0000 2023,Keliatan jelas banget kok siapa yang unggul. Polling ini hanya validasi. #AniesMuhaimin2024 #AniesPresiden2024 https://t.co/czSjN6li3w,RidNgemil,165,Positive
Wed Dec 13 12:00:32 +0000 2023,Berchanda berchanda ???? ?? #AniesMuhaimin2024  #AsamSulfat  #WakandaNoMoreIndonesiaForever https://t.co/NPNGS11LCi,Zenfatah4,146,Neutral
Wed Dec 13 11:57:38 +0000 2023,Wakanda no more  Indonesia forever ??????  #AMINAjaDulu #AniesMuhaimin2024  https://t.co/KtJvgWKswH,R3_Adv,130,Positive
Wed Dec 13 11:55:11 +0000 2023,"Wakanda no more, Indonesia forever. ?? #Pilpres2024 #AniesMuhaimin2024 https://t.co/LARDKWe1ol",jusufreis,125,Neutral
Wed Dec 13 11:45:34 +0000 2023,"Hasil jajak pendapat ÒLitbang KompasÓ menyatakan 37,9% responden menilai pasangan Capres - Cawapres No 1 Mas Anies dan Gus Imin (AMIN) ÒUNGGULÓ dalam debat perdana capres 2024 ???? #AMINMakinYakin #AMINAjaDulu #AniesMuhaimin2024 https://t.co/b6Cv2Q3NeA",JakaTarub4723,283,Positive
Wed Dec 13 11:45:00 +0000 2023,Pakai kaos nya Makan nasi kotak nya Pilihan tetap pak @aniesbaswedan  ????  #AniesPresiden2024  #AniesMuhaimin2024 https://t.co/7qWEjbsGPg,sutanrai,169,Neutral
Wed Dec 13 11:44:37 +0000 2023,@ajengcute16__ Bukan di politisasi .mbak pak Anies cuma mempertanyakan kenapa tidak bisa di selesaikan kasus pelanggaran HAM. Salah satunya kasus Harun Al Rasyid. #AniesMuhaimin2024,AdjieFaisa,212,Neutral
Wed Dec 13 11:36:35 +0000 2023,"Debat pertama nih bos ??  Jajak pendapat ÒLitbang KompasÓ menyatakan 37,9% responden menilai pasangan Capres - Cawapres No 1 Mas Anies dan Gus Imin (AMIN) ÒUNGGULÓ dalam debat perdana Capres 2024 ????  #AMINAjaDulu  #AMINMakinYakin #AniesMuhaimin2024 https://t.co/gMosdem6tK",DPP_PKB,305,Positive
Wed Dec 13 11:35:52 +0000 2023,Kayaknya semua happy... Momen dimana jogwd gemoy gak laku. #AniesMuhaimin2024,RBugeh,108,Neutral
Wed Dec 13 11:31:42 +0000 2023,"Mantap Pak, skakmat langsung. Kekuasaan adalah untuk keadilan rakyat. #AMINAjaDulu #AniesBaswedan #AniesMuhaimin2024",maldakristina,147,Positive
Wed Dec 13 11:30:13 +0000 2023,"Bukti nyata, aksi nyata. Biarkan rakyat menilai. #AniesMuhaimin2024 #AniesMuhaimin2024 #AMINAjaDulu #AMINpalingserius https://t.co/A8c2q0iqYX",maldakristina,172,Positive
Wed Dec 13 11:29:21 +0000 2023,"Di Desak Anies, salah seorang pedagang mengeluh pasar yang semakin sepi pembeli tapi biaya hidup terus meningkat..  Ini keluhan langsung dari rakyat loh, masa masih mau dilanjutkan?  #DesakAnies #AMINAjaDulu #AniesMuhaimin2024 https://t.co/CvmF1ddwUA",Mdy_Asmara1701,281,Positive
Wed Dec 13 11:29:01 +0000 2023,"Betul pak, jangan ada lagi pembungkaman dan kriminalisasi trhadap kritik kepada penguasa.  #AniesBaswedan #AniesMuhaimin2024 #AMINAjaDulu",maldakristina,168,Positive
Wed Dec 13 11:28:23 +0000 2023,"Pasangan paling solid, bekerja untuk perubahan Indonesia. #AMINAjaDulu #AniesMuhaimin2024 #AniesBaswedan",maldakristina,135,Positive
Wed Dec 13 11:27:41 +0000 2023,"Bukti nyata, rakyat yang merasakan. Jakarta menjadi lebih baik.  #AniesBaswedan #AMINAjaDulu #AniesMuhaimin2024 https://t.co/y3fGMnbhOn",maldakristina,166,Positive
Wed Dec 13 11:27:30 +0000 2023,Debat Capres pertama yg seru antara Anies dan Prabowo  #DebatCapres #AniesMuhaimin2024 #PrabowoGibran #promedia  https://t.co/MYTk3wtFEe,lombok_insider,167,Neutral
Wed Dec 13 11:26:39 +0000 2023,Tadi emosian... Skrg kek bocah wkwk #AniesMuhaimin2024 https://t.co/0nbrXZy2oe,SusantyLara,109,Negative
Wed Dec 13 11:25:55 +0000 2023,Pak Anies Baswedan tiba di Pekanbaru - Riau. #AMINAjaDulu #AniesMuhaimin2024 https://t.co/I893kMRacu,R3_Adv,131,Positive
Wed Dec 13 11:10:09 +0000 2023,@CNNIndonesia paling masuk akal memang pilih paslon 1 #AniesMuhaimin2024 #PilihanIndonesia,emil_zain,121,Neutral
Wed Dec 13 11:06:47 +0000 2023,"Merindukan seorang Pemimpin Negeri ini yang Mencintai Mu duhai Rasulullah, merindukan Mu dan memiliki ada untuk Berjumpa dengan Mu saat ini.  Dimudahkan jalan jadi Presiden dengan Jalan Terbaik, Terindah sekehendak Mu Ya Allah. Aamiin. Bismillah #AniesMuhaimin2024 #AMINAjaDulu https://t.co/jFOAxzxac5",SmartGen_Idn,332,Positive
Wed Dec 13 11:04:54 +0000 2023,Kasihan ni bocah. Niatnya mau jatuhin anies lewat JAKI. Malah ditampar komenan yg pernah pakai ini aplikasi JAKI. Cepat respon dan ditanggapi lansung sesuai kebutuhan atau yg dilaporkan.   #AniesMuhaimin2024,UjuangPituluik,238,Negative
Wed Dec 13 11:03:45 +0000 2023,Mungkin pak Prabowo menjawabnya sambil bergurau..?? #AMINAjaDulu #AniesMuhaimin2024 https://t.co/S2Fp8CqEdO,R3_Adv,138,Positive
Wed Dec 13 11:01:31 +0000 2023,Oposisi dan penguasa sama2 terhormat... #AMINAjaDulu #AniesMuhaimin2024 https://t.co/K53xapdwfR,R3_Adv,126,Positive
Wed Dec 13 10:57:43 +0000 2023,@aniesbaswedan  - Adil Sejak Dalam Pikiran - Layak Diteladani dan - Mampu Berkomunikasi dengan Dunia Global @cakimiNOW  #AniesMuhaimin2024 #AniesTerpelajar #AniesSerbaBisa,pandongs,202,Positive
Wed Dec 13 10:55:58 +0000 2023,"@aniesbaswedan  - Adil Sejak Dalam Pikiran, - Layak di Teladani dan - Mampu Berkomunikasi Dengan Dunia Global ANIES BASWEDAN - TERBAIK @cakimiNOW @NasDem  #AniesMuhaimin2024 #AniesTerpelajar #AniesSerbaBisa https://t.co/ytZI065X2I",p_spenra,261,Positive
Wed Dec 13 10:54:47 +0000 2023,#AniesMuhaiminNo1 #AniesMuhaimin2024  #AMINkanIndonesia  Inilah saat nya Indonesia perlu perubahan https://t.co/hIvrz5j6n7,fr12475,153,Positive
Wed Dec 13 10:50:44 +0000 2023,Wakanda No More! Indonesia Forever!????   #AMINAjaDulu  #AniesMuhaimin2024  #AniesPresiden2024,GustiGrage,125,Positive
Wed Dec 13 10:48:53 +0000 2023,@aniesbaswedan Alasan tinggalkan kami karena business toooh ??????  Wakanda No More Indonesia Forever  #AniesMuhaimin2024  #AMINAjaDulu,01_yudhis,166,Positive
Wed Dec 13 10:47:10 +0000 2023,@abu_waras Kayak bocah.  Emosi menunjukan kualitas buruknya. #AniesMuhaimin2024,andapro5,110,Negative
Wed Dec 13 10:35:25 +0000 2023,@noelbesars Masya Allah cakep banget. ??  #AMIN #AniesMuhaimin2024  Note: Bukan yg posting. ??????????,SandraUnie,133,Positive
Wed Dec 13 10:31:38 +0000 2023,Komunitas teman-teman Tionghoa merapat berikan dukungan pada AMIN. Alhamdulillah @aniesbaswedan @PKSejahtera @pksjabar #AMIN #AniesMuhaimin2024 https://t.co/ULoZgDf9gl,suandharu,198,Positive
